what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1413174963474
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1413174963475
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1413174963475
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1413174963475
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1413174963476
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1413174963476
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1413174963478
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1413174963479
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1413174963479
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1413174963480
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1413174963480
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1413174963481
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1413174963481
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1413174963482
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1413174963482
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1413174963483
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1413174963483
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1413174963484
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1413174963494
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1413174963494
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1413174963495
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1413174963495
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1413174963496
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1413174963496
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1413174963496
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1413174963499
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1413174963500
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1413174963500
started,bundle,org.tigris.subversion.clientadapter,1.5.3,"org.tigris.subversion.clientadapter",1413174963500
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1413174963500
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1413174963500
started,bundle,com.jprobe.common.coverage,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.coverage",1413174963500
started,bundle,com.jprobe.common.coverage.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.coverage.ui",1413174963501
started,bundle,com.jprobe.common.memory,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.memory",1413174963501
started,bundle,com.jprobe.common.memory.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.memory.ui",1413174963501
started,bundle,com.jprobe.common.performance,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.performance",1413174963501
started,bundle,com.jprobe.common.performance.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.performance.ui",1413174963501
started,bundle,com.jprobe.common.runtime,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.runtime",1413174963501
started,bundle,com.jprobe.common.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.ui",1413174963502
started,bundle,com.jprobe.eclipse.core.runtime,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.runtime",1413174963502
started,bundle,com.jprobe.eclipse.core.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.ui",1413174963502
started,bundle,com.jprobe.eclipse.coverage.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.coverage.ui",1413174963502
started,bundle,com.jprobe.eclipse.memory.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.memory.ui",1413174963503
started,bundle,com.jprobe.eclipse.performance.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.performance.ui",1413174963503
started,bundle,com.jprobe.preemptive,9.0.1.2011-11-28_12-13-46,"com.jprobe.preemptive",1413174963503
os,sysinfo,,,"linux",1413174963505
arch,sysinfo,,,"x86",1413174963505
ws,sysinfo,,,"gtk",1413174963505
locale,sysinfo,,,"ko_KR",1413174963505
processors,sysinfo,,,"8",1413174963506
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413174963506
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1413174963506
java.specification.name,sysinfo,,,"Java Platform API Specification",1413174963506
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413174963506
java.specification.version,sysinfo,,,"1.7",1413174963506
java.vendor,sysinfo,,,"Oracle Corporation",1413174963506
java.version,sysinfo,,,"1.7.0_60",1413174963506
java.vm.info,sysinfo,,,"mixed mode",1413174963506
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413174963506
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413174963506
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413174963506
java.vm.specification.version,sysinfo,,,"1.7",1413174963506
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413174963506
java.vm.version,sysinfo,,,"24.60-b09",1413174963506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413174967041
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1413174967046
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1413174968286
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1413174968338
started,bundle,com.coverity.desktop.launcher,6.6.1.hotfix-2520-109,"com.coverity.desktop.launcher",1413174969771
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1413174969774
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1413174969806
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1413174970593
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1413174970599
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1413174971166
closed,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1413174971196
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1413174971754
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1413174971775
closed,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1413174971801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413174973403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1413174997993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1413174997993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413174998024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413174999545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413175003943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413175007617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1413175008680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1413175008680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413175008706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413175012031
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413175023287
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413175023744
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1413175023752
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1413175023937
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1413175023937
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1413175023952
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1413175023952
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1413175024004
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1413175024063
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1413175024176
stopped,bundle,org.eclipse.rap.ui.launch,1.4.1.20110914-1945,"org.eclipse.rap.ui.launch",1413175024176
activated,perspective,org.eclipse.pde.ui,,"org.eclipse.pde.ui.PDEPerspective",1413264947441
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1413264947442
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1413264947443
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1413264947443
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1413264947443
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1413264947443
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1413264947444
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1413264947444
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1413264947444
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1413264947444
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1413264947445
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1413264947445
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1413264947445
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1413264947445
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1413264947445
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1413264947446
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1413264947446
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1413264947446
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1413264947446
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1413264947446
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1413264947447
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1413264947447
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1413264947447
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1413264947447
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1413264947448
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1413264947448
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1413264947448
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1413264947448
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1413264947448
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1413264947449
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1413264947449
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1413264947449
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1413264947449
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1413264947450
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1413264947450
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1413264947450
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1413264947450
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1413264947451
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1413264947451
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1413264947455
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1413264947456
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1413264947456
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1413264947457
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1413264947457
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1413264947458
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1413264947458
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1413264947458
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1413264947459
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1413264947459
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1413264947460
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1413264947461
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1413264947461
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1413264947462
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1413264947463
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1413264947463
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1413264947464
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1413264947464
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1413264947465
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1413264947466
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1413264947467
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1413264947467
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1413264947467
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1413264947467
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1413264947468
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1413264947468
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1413264947468
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1413264947483
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1413264947484
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1413264947484
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1413264947485
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1413264947485
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1413264947486
started,bundle,org.tigris.subversion.clientadapter,1.5.3,"org.tigris.subversion.clientadapter",1413264947486
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1413264947486
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1413264947486
started,bundle,com.jprobe.common.coverage,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.coverage",1413264947487
started,bundle,com.jprobe.common.coverage.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.coverage.ui",1413264947488
started,bundle,com.jprobe.common.memory,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.memory",1413264947489
started,bundle,com.jprobe.common.memory.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.memory.ui",1413264947489
started,bundle,com.jprobe.common.performance,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.performance",1413264947490
started,bundle,com.jprobe.common.performance.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.performance.ui",1413264947490
started,bundle,com.jprobe.common.runtime,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.runtime",1413264947491
started,bundle,com.jprobe.common.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.common.ui",1413264947491
started,bundle,com.jprobe.eclipse.core.runtime,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.runtime",1413264947492
started,bundle,com.jprobe.eclipse.core.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.core.ui",1413264947492
started,bundle,com.jprobe.eclipse.coverage.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.coverage.ui",1413264947492
started,bundle,com.jprobe.eclipse.memory.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.memory.ui",1413264947493
started,bundle,com.jprobe.eclipse.performance.ui,9.0.1.2011-11-28_12-13-46,"com.jprobe.eclipse.performance.ui",1413264947493
started,bundle,com.jprobe.preemptive,9.0.1.2011-11-28_12-13-46,"com.jprobe.preemptive",1413264947493
started,bundle,com.coverity.desktop.launcher,6.6.1.hotfix-2520-109,"com.coverity.desktop.launcher",1413264947493
os,sysinfo,,,"linux",1413264947495
arch,sysinfo,,,"x86",1413264947495
ws,sysinfo,,,"gtk",1413264947495
locale,sysinfo,,,"ko_KR",1413264947495
processors,sysinfo,,,"8",1413264947495
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413264947495
java.runtime.version,sysinfo,,,"1.7.0_60-b19",1413264947495
java.specification.name,sysinfo,,,"Java Platform API Specification",1413264947495
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413264947495
java.specification.version,sysinfo,,,"1.7",1413264947495
java.vendor,sysinfo,,,"Oracle Corporation",1413264947495
java.version,sysinfo,,,"1.7.0_60",1413264947495
java.vm.info,sysinfo,,,"mixed mode",1413264947495
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413264947495
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413264947495
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413264947495
java.vm.specification.version,sysinfo,,,"1.7",1413264947495
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413264947495
java.vm.version,sysinfo,,,"24.60-b09",1413264947495
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1413264947796
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1413264951417
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413264951640
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413264951824
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1413264951826
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1413264951884
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1413264951885
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1413264951885
